alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,32.838580686755215,0.0,NEAR,,191.83858068675522,32.838580686755215,RECOVERY,,360.0,191.83858068675522,NEAR,,700.0,10.0,NEAR,,,,,,5011.401591394881,117.31007136408425,44.98706499922366,45.015644540501306,11.83858068669322,5.318365098671713,0,5009.187291874057,146.75518623098338,AC1,44.99781776091769,45.0374498016503,270.74199166100567,4.868385344175811,16399.999999999996,100.0,RECOVERY,,50000.0,16399.999999999996,NEAR,,3546.922263518053,-6000.0,NEAR,,6000.0,3546.922263518053,RECOVERY,,,,,
Warning,32.838580686755215,0.0,NEAR,,191.83858068675522,32.838580686755215,RECOVERY,,360.0,191.83858068675522,NEAR,,700.0,10.0,NEAR,,,,,,5003.077556658629,117.91257767016442,44.98745924237013,45.0161037616122,35.52029024927958,5.1372199040229045,1,5013.865270853225,149.84975409289868,AC1,44.99776471367344,45.03647602915066,269.0306911611859,1.4629098106996752,16399.999999999996,100.0,RECOVERY,,50000.0,16399.999999999996,NEAR,,3546.922263518053,-6000.0,NEAR,,6000.0,3546.922263518053,RECOVERY,,,,,
Warning,32.838580686755215,0.0,NEAR,,215.5202902493624,32.838580686755215,RECOVERY,,360.0,215.5202902493624,NEAR,,229.20371338339328,10.0,RECOVERY,,700.0,229.20371338339328,NEAR,,5005.685299507995,118.91038802207153,44.98787087761581,45.01642339696277,37.20269220682542,-2.431022267422247,2,4999.234804566971,151.17847321538378,AC1,44.997896895059746,45.035345964155745,269.3057801316626,-1.4221715745568435,50000.0,100.0,RECOVERY,,,,,,3111.2637606344315,-6000.0,NEAR,,6000.0,3111.2637606344315,RECOVERY,,,,,
Warning,46.2026922068345,0.0,NEAR,,217.2026922068345,46.2026922068345,RECOVERY,,360.0,217.2026922068345,NEAR,,229.20371338339328,10.0,RECOVERY,,700.0,229.20371338339328,NEAR,,5008.764349962466,117.97284440807643,44.98830234185483,45.017067514039795,39.71146446691135,1.7838658148506132,3,5004.046847685377,152.06253581910877,AC1,44.99779147198805,45.034438730314044,266.8410191295929,1.6485264932088,50000.0,100.0,RECOVERY,,,,,,2421.4523095625564,-6000.0,NEAR,,6000.0,2421.4523095625564,RECOVERY,,,,,
Warning,50.52029024936242,0.0,NEAR,,219.71146446691486,50.52029024936242,RECOVERY,,360.0,219.71146446691486,NEAR,,229.20371338339328,10.0,RECOVERY,,700.0,229.20371338339328,NEAR,,5006.846429117618,120.30670947148897,44.98862707935111,45.0176491637248,49.489704575022834,5.81015730245645,4,5009.679987968802,151.11444239497314,AC1,44.9978581581373,45.03366484525604,265.1852089891112,9.503686813741824,50000.0,100.0,RECOVERY,,,,,,-3278.5476904374436,-6000.0,RECOVERY,,2421.4523095625564,-3278.5476904374436,NEAR,,6000.0,2421.4523095625564,RECOVERY,
Warning,52.71146446691485,0.0,NEAR,,229.48970457503475,52.71146446691485,RECOVERY,,360.0,229.48970457503475,NEAR,,231.1433015068526,10.0,RECOVERY,,700.0,231.1433015068526,NEAR,,4998.916774472177,122.72181336060443,44.98896276477736,45.01827666425611,55.32886936530104,-2.240585219777111,5,5001.785197956234,153.37437654514792,AC1,44.997744579701674,45.03257800887311,266.8814069857613,3.5980533378878747,50000.0,100.0,RECOVERY,,,,,,-856.2682475479437,-6000.0,RECOVERY,,2251.1546879627267,-856.2682475479437,NEAR,,6000.0,2251.1546879627267,RECOVERY,
Warning,57.48970457503473,0.0,NEAR,,235.3288693652007,57.48970457503473,RECOVERY,,360.0,235.3288693652007,NEAR,,225.561052297094,10.0,RECOVERY,,700.0,225.561052297094,NEAR,,5008.136241641816,121.18307541348453,44.989284256466036,45.01899170087686,59.64109921026968,-3.107007612989652,6,4995.500253639243,151.12118320257218,AC1,44.99783819749032,45.03163957040201,272.1485774841853,-1.6787386809023808,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,60.64109921028324,0.0,NEAR,,239.64109921028324,60.64109921028324,RECOVERY,,360.0,239.64109921028324,NEAR,,700.0,10.0,RECOVERY,,,,,,5002.385534882147,121.07044185235341,44.98952118903975,45.01965557597944,61.46034924215438,-5.012181503028639,7,4996.3298373076605,149.8901594312235,AC1,44.99777752866062,45.03072470799074,268.367164025871,8.109614340189657,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,61.328869365200724,0.0,NEAR,,241.46034924213492,61.328869365200724,RECOVERY,,360.0,241.46034924213492,NEAR,,700.0,10.0,RECOVERY,,,,,,4984.852828751462,119.92750878277631,44.98990415554812,45.02032249975629,69.67753889327874,-2.0360663788116766,8,4993.686359132158,151.9200099824173,AC1,44.99774641445127,45.02959442551499,264.9981930262652,3.1258129305496096,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,60.64109921028324,0.0,NEAR,,249.67753889328674,60.64109921028324,RECOVERY,,360.0,249.67753889328674,NEAR,,700.0,10.0,RECOVERY,,,,,,4992.231806709632,118.61709205241807,44.99009895850938,45.021077103066794,69.09455638368684,-4.144284369512129,9,4995.560487313163,151.44579236502582,AC1,44.99782572258788,45.02865840778659,269.8451176099716,0.7176499398651083,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
