alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,h_band_5_high,h_band_5_low,h_band_5_type,h_band_5_unit,h_band_6_high,h_band_6_low,h_band_6_type,h_band_6_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,360.0,0.0,RECOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5013.905463704798,118.43208532759496,44.984148452858626,44.984466560657786,13.673024820477565,12.04232754183202,0,5007.698424598155,150.44692428662378,AC1,44.995204993759465,45.00749912770634,266.1938094532085,-4.537142337646001,16799.999999999996,100.0,NEAR,,50000.0,16799.999999999996,RECOVERY,,,,,,2970.5369176834715,-6000.0,NEAR,,6000.0,2970.5369176834715,RECOVERY,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4987.69895045349,117.90938787050474,44.98468711669022,44.984697548535934,5.057179488231673,0.5496850866177936,1,4987.16267167272,151.2563911347584,AC1,44.99523022700281,45.00658221165672,269.50589305501927,2.7136487310929978,16799.999999999996,100.0,NEAR,,50000.0,16799.999999999996,RECOVERY,,,,,,2970.5369176834715,-6000.0,NEAR,,6000.0,2970.5369176834715,RECOVERY,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5007.69420955084,120.29481469583399,44.98514027399082,44.98475173498554,8.548693636266563,4.573766062555949,2,5008.478054647326,150.38282968669247,AC1,44.995229589747986,45.00550443940306,271.00506285293596,1.2205813104427705,16799.999999999996,100.0,NEAR,,50000.0,16799.999999999996,RECOVERY,,,,,,2970.5369176834715,-6000.0,NEAR,,6000.0,2970.5369176834715,RECOVERY,,,,,
Warning,309.5486936363345,0.0,NEAR,,347.5486936363345,309.5486936363345,RECOVERY,,360.0,347.5486936363345,NEAR,,,,,,,,,,,,,,,,,,250.8542707607455,10.0,NEAR,,700.0,250.8542707607455,RECOVERY,,5004.060058349791,118.76169775792941,44.98572624031523,44.984691793039396,0.463352085111965,-4.3632380618328215,3,4979.97366275311,148.5977132043823,AC1,44.9951537193137,45.00449195107677,269.4894597708833,-1.091953496296318,16799.999999999996,100.0,NEAR,,50000.0,16799.999999999996,RECOVERY,,,,,,-3658.9051302820503,-6000.0,RECOVERY,,2700.3476501094356,-3658.9051302820503,NEAR,,6000.0,2700.3476501094356,RECOVERY,
Warning,310.0571794881841,0.0,NEAR,,342.4633520850418,310.0571794881841,RECOVERY,,360.0,342.4633520850418,NEAR,,,,,,,,,,,,,,,,,,261.1024600587143,10.0,NEAR,,700.0,261.1024600587143,RECOVERY,,5007.951192652849,124.03382190373615,44.986288229740026,44.984541967730216,340.14734886974094,2.5311911918511476,4,4998.756942412945,149.41220911994472,AC1,44.99518623155933,45.003559967014205,274.12783432812716,0.2840084475870349,16299.999999999998,100.0,RECOVERY,,16500.0,16299.999999999998,NEAR,,50000.0,16500.0,RECOVERY,,-3658.9051302820503,-6000.0,RECOVERY,,2598.2659826478584,-3658.9051302820503,NEAR,,6000.0,2598.2659826478584,RECOVERY,
Warning,309.5486936363345,0.0,NEAR,,342.4633520850418,309.5486936363345,RECOVERY,,360.0,342.4633520850418,NEAR,,,,,,,,,,,,,,,,,,253.26916443924668,10.0,NEAR,,700.0,253.26916443924668,RECOVERY,,4998.954259067905,120.00402641656031,44.98673865057124,44.98433341351044,336.4725238927646,5.076738983421333,5,4971.636063145227,148.03390745427959,AC1,44.99521465924474,45.00257028428316,268.2241083474979,3.729806250421976,50000.0,100.0,RECOVERY,,,,,,,,,,2598.2659826478584,-6000.0,NEAR,,6000.0,2598.2659826478584,RECOVERY,,,,,
Warning,302.4725238928379,0.0,NEAR,,309.79898282031365,302.4725238928379,RECOVERY,,312.1473488696939,309.79898282031365,NEAR,,312.47252389283796,312.1473488696939,RECOVERY,,314.4633520850418,312.47252389283796,NEAR,,322.1473488696939,314.4633520850418,RECOVERY,,360.0,322.1473488696939,NEAR,,250.8542707607455,10.0,NEAR,,700.0,250.8542707607455,RECOVERY,,4988.510252231722,118.54602884016582,44.98732083555122,44.98401905267725,338.79898282027375,-0.5335739551686427,6,4999.4074810478405,145.4116971865935,AC1,44.99513970195282,45.00160628664647,271.1356409662071,2.059020618165957,50000.0,100.0,RECOVERY,,,,,,,,,,-3658.9051302820503,-6000.0,RECOVERY,,2598.2659826478584,-3658.9051302820503,NEAR,,6000.0,2598.2659826478584,RECOVERY,
Warning,302.4725238928379,0.0,NEAR,,309.79898282031365,302.4725238928379,RECOVERY,,312.1473488696939,309.79898282031365,NEAR,,312.47252389283796,312.1473488696939,RECOVERY,,314.416479381102,312.47252389283796,NEAR,,322.1473488696939,314.416479381102,RECOVERY,,360.0,322.1473488696939,NEAR,,253.08192699146247,10.0,NEAR,,700.0,253.08192699146247,RECOVERY,,5006.024006594731,117.33548088309928,44.98769684603805,44.983378129698096,322.4164793811179,2.0923962772424582,7,5012.247520017878,151.60758976092455,AC1,44.99514404892942,45.000662698214036,270.35792839057285,1.613985378028284,50000.0,100.0,RECOVERY,,,,,,,,,,-3288.1109690467592,-6000.0,RECOVERY,,2799.358067602631,-3288.1109690467592,NEAR,,6000.0,2799.358067602631,RECOVERY,
Warning,302.4725238928379,0.0,NEAR,,309.79898282031365,302.4725238928379,RECOVERY,,360.0,309.79898282031365,NEAR,,,,,,,,,,,,,,,,,,253.08192699146247,10.0,NEAR,,700.0,253.08192699146247,RECOVERY,,4992.994268275065,118.24675963458284,44.98817051830436,44.98299820096286,315.518330152424,-1.0692370180466506,8,4995.485109460308,151.30764642674524,AC1,44.99517463230382,44.99961364946966,275.15061574567164,2.5413139120947936,50000.0,100.0,RECOVERY,,,,,,,,,,-3005.034243143442,-6000.0,RECOVERY,,6000.0,-3005.034243143442,NEAR,,,,,
Warning,135.5183301523997,0.0,NEAR,,247.5183301523997,135.5183301523997,RECOVERY,,360.0,247.5183301523997,NEAR,,,,,,,,,,,,,,,,,,253.08192699146247,10.0,NEAR,,700.0,253.08192699146247,RECOVERY,,4995.3423397281385,121.15284531216933,44.988411318743765,44.98222430833213,306.29875799580964,-1.2750427812394882,9,4996.265699993151,147.0026722201948,AC1,44.99514554453017,44.99875534560067,268.14895476983287,-7.196950250121508,16299.999999999998,100.0,RECOVERY,,16500.0,16299.999999999998,NEAR,,50000.0,16500.0,RECOVERY,,-3005.034243143442,-6000.0,RECOVERY,,6000.0,-3005.034243143442,NEAR,,,,,
Warning,135.5183301523997,0.0,NEAR,,247.5183301523997,135.5183301523997,NONE,,360.0,247.5183301523997,NEAR,,,,,,,,,,,,,,,,,,269.85331114325555,10.0,NEAR,,700.0,269.85331114325555,NONE,,5009.155717299344,122.29707952773046,44.9882779159504,44.98163573026527,245.63542784675084,6.1985685333194604,10,5010.3161120498535,151.05069732289087,AC1,44.99525454990066,44.99762428298892,269.4854919871097,9.762440970728596,16199.999999999996,100.0,NONE,,16500.0,16199.999999999996,NEAR,,50000.0,16500.0,NONE,,-3288.1109690467592,-6000.0,NONE,,6000.0,-3288.1109690467592,NEAR,,,,,
Warning,135.5183301523997,0.0,NEAR,,247.5183301523997,135.5183301523997,NONE,,360.0,247.5183301523997,NEAR,,,,,,,,,,,,,,,,,,270.50228968212747,10.0,NEAR,,700.0,270.50228968212747,NONE,,5003.5878706343865,119.58194283220841,44.98796131838656,44.9808623672335,243.0358411039839,2.313506356668544,11,5005.341085343159,150.88044022078458,AC1,44.99513947897,44.99671832542744,274.01185322449095,4.837461420116683,50000.0,100.0,NEAR,,,,,,,,,,6000.0,-6000.0,NEAR,,,,,,,,,
