alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,h_band_5_high,h_band_5_low,h_band_5_type,h_band_5_unit,h_band_6_high,h_band_6_low,h_band_6_type,h_band_6_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,hs_band_2_high,hs_band_2_low,hs_band_2_type,hs_band_2_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,8.675440275857301,0.0,RECOVERY,,193.67544027585728,8.675440275857301,NEAR,,360.0,193.67544027585728,RECOVERY,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,,,,,5013.785970716413,118.58674504980048,44.99165085911792,44.98321768240674,13.675440275812328,-2.2103949409135573,0,5001.749972894443,149.24260792014002,AC1,45.0022200124499,45.00682713648415,266.6619205880543,9.21390740459697,16399.999999999996,100.0,RECOVERY,,50000.0,16399.999999999996,NEAR,,,,,,-2735.1171143530623,-6000.0,RECOVERY,,6000.0,-2735.1171143530623,NEAR,,,,,
Warning,8.675440275857301,0.0,RECOVERY,,193.67544027585728,8.675440275857301,NEAR,,360.0,193.67544027585728,RECOVERY,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,,,,,4981.8239047159705,120.8038119953964,44.992147342413524,44.983079574679785,353.24857931696897,-3.4674500337612653,1,4993.301342935989,149.73821808605908,AC1,45.00221676120721,45.00590872169153,266.1781862149968,-0.45813841132020444,16399.999999999996,100.0,RECOVERY,,50000.0,16399.999999999996,NEAR,,,,,,-2735.1171143530623,-6000.0,RECOVERY,,6000.0,-2735.1171143530623,NEAR,,,,,
Warning,8.675440275857301,0.0,RECOVERY,,193.67544027585728,8.675440275857301,NEAR,,360.0,193.67544027585728,RECOVERY,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,,,,,4987.9312613817365,122.04527198997388,44.99271805472509,44.98288078533776,357.6296579383676,9.61655229267525,2,4992.706128533995,145.7934047319161,AC1,45.002203529830176,45.00493945311892,272.90866524145594,3.081901556103034,16399.999999999996,100.0,RECOVERY,,16700.0,16399.999999999996,NEAR,,50000.0,16700.0,RECOVERY,,-2735.1171143530623,-6000.0,RECOVERY,,6000.0,-2735.1171143530623,NEAR,,,,,
Warning,177.62965793837907,0.0,NEAR,,334.1574145108257,177.62965793837907,RECOVERY,,360.0,334.1574145108257,NEAR,,,,,,,,,,,,,,,,,,162.23702833307007,10.0,RECOVERY,,212.23702833307004,162.23702833307007,NEAR,,700.0,212.23702833307004,RECOVERY,,4997.158140371197,123.95493653686309,44.99327085887434,44.98298932435605,357.1574145108878,6.710947924958694,3,4999.755617531001,149.4328891486812,AC1,45.00218039978935,45.00409300512733,266.3906211372672,9.014231961407924,16399.999999999996,100.0,RECOVERY,,16700.0,16399.999999999996,NEAR,,50000.0,16700.0,RECOVERY,,-2735.1171143530623,-6000.0,RECOVERY,,6000.0,-2735.1171143530623,NEAR,,,,,
Warning,177.15741451082565,0.0,NEAR,,325.62965793837907,177.15741451082565,RECOVERY,,360.0,325.62965793837907,NEAR,,,,,,,,,,,,,,,,,,240.1003490351803,10.0,NEAR,,700.0,240.1003490351803,RECOVERY,,,,,,5003.186961569323,118.37384690801215,44.99366666470521,44.982710779823755,329.47576761869726,-0.4276018056719695,4,5001.603208981087,148.55781841955283,AC1,45.002224558417765,45.002992585528744,267.1462471331281,-7.97481691069983,16399.999999999996,100.0,RECOVERY,,16500.0,16399.999999999996,NEAR,,50000.0,16500.0,RECOVERY,,-2782.5689042837143,-6000.0,RECOVERY,,3993.022104857334,-2782.5689042837143,NEAR,,6000.0,3993.022104857334,RECOVERY,
Warning,149.4757676187118,0.0,NEAR,,325.62965793837907,149.4757676187118,RECOVERY,,360.0,325.62965793837907,NEAR,,,,,,,,,,,,,,,,,,212.23702833307004,10.0,NEAR,,700.0,212.23702833307004,RECOVERY,,,,,,4991.623162333599,119.18676521833424,44.99420011112806,44.981980907188934,319.07414124681077,-4.290319485442734,5,5003.8654653146405,148.61416575834457,AC1,45.002190307832365,45.00201834075986,271.70675783248794,5.243577469062975,16199.999999999996,100.0,RECOVERY,,16700.0,16199.999999999996,NEAR,,50000.0,16700.0,RECOVERY,,-2344.551079811556,-6000.0,RECOVERY,,3993.022104857334,-2344.551079811556,NEAR,,6000.0,3993.022104857334,RECOVERY,
Warning,149.4757676187118,0.0,NEAR,,322.03393730540927,149.4757676187118,RECOVERY,,360.0,322.03393730540927,NEAR,,,,,,,,,,,,,,,,,,240.1003490351803,10.0,NEAR,,700.0,240.1003490351803,RECOVERY,,,,,,4984.509489589341,123.26293889114015,44.99460761172155,44.98143697915345,322.0339373054435,-0.5985765860930654,6,4999.805091428786,152.35029214122702,AC1,45.00208891152213,45.00095692086226,268.3699316928695,-0.47588131359674096,16399.999999999996,100.0,RECOVERY,,16500.0,16399.999999999996,NEAR,,50000.0,16500.0,RECOVERY,,-2344.551079811556,-6000.0,RECOVERY,,6000.0,-2344.551079811556,NEAR,,,,,
Warning,139.0741412468045,0.0,NEAR,,307.4278156779526,139.0741412468045,RECOVERY,,311.03393730540927,307.4278156779526,NEAR,,313.4757676187118,311.03393730540927,RECOVERY,,360.0,313.4757676187118,NEAR,,,,,,,,,,240.1003490351803,10.0,NEAR,,700.0,240.1003490351803,RECOVERY,,,,,,5000.294398696008,117.53863112015011,44.995012067803636,44.98107956786533,316.4278156778939,2.441498480635032,7,5006.634852413943,152.93285439395171,AC1,45.00216376108449,45.000067433142654,268.56281559683646,-4.26025429616722,50000.0,100.0,RECOVERY,,,,,,,,,,-3517.830036632495,-6000.0,RECOVERY,,2515.826416206313,-3517.830036632495,NEAR,,6000.0,2515.826416206313,RECOVERY,
Warning,139.0741412468045,0.0,NEAR,,307.4278156779526,139.0741412468045,RECOVERY,,311.03393730540927,307.4278156779526,NEAR,,314.41942118148205,311.03393730540927,RECOVERY,,360.0,314.41942118148205,NEAR,,,,,,,,,,256.5580726830019,10.0,NEAR,,700.0,256.5580726830019,RECOVERY,,,,,,5006.844398916847,121.6959870212029,44.99543384689066,44.980461758412304,313.4194211814926,4.597193643443513,8,4990.177966858047,147.16213724607633,AC1,45.002108303434206,44.99899869436448,267.88090870006414,5.091025492754472,50000.0,100.0,RECOVERY,,,,,,,,,,-2795.040621369379,-6000.0,RECOVERY,,3304.9593786306204,-2795.040621369379,NEAR,,6000.0,3304.9593786306204,RECOVERY,
Warning,136.42781567795257,0.0,NEAR,,297.69710773678395,136.42781567795257,RECOVERY,,306.41942118148205,297.69710773678395,NEAR,,307.4278156779526,306.41942118148205,RECOVERY,,311.03393730540927,307.4278156779526,NEAR,,314.41942118148205,311.03393730540927,RECOVERY,,360.0,314.41942118148205,NEAR,,258.99632722642366,10.0,NEAR,,700.0,258.99632722642366,RECOVERY,,,,,,5007.0624225617785,117.80588901208016,44.995794519216005,44.9799238681714,315.697107736814,-6.513583257409254,9,4985.065033122556,149.88122397718442,AC1,45.00209125388597,44.99802845451544,270.1344555348392,0.602486069678334,50000.0,100.0,RECOVERY,,,,,,,,,,-3517.830036632495,-6000.0,RECOVERY,,3304.9593786306204,-3517.830036632495,NEAR,,6000.0,3304.9593786306204,RECOVERY,
