alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,h_band_5_high,h_band_5_low,h_band_5_type,h_band_5_unit,h_band_6_high,h_band_6_low,h_band_6_type,h_band_6_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,321.8316086526077,0.0,NEAR,,355.8316086526077,321.8316086526077,RECOVERY,,360.0,355.8316086526077,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4998.657596617666,119.12677657039575,44.995455092296254,44.99052043804803,11.83160865264855,0.9366896835133764,0,5004.039961042509,156.03401384763313,AC1,45.00698478542464,45.01288583440881,270.53284281172756,6.4559110384628315,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,-2415.612267024922,-6000.0,RECOVERY,,6000.0,-2415.612267024922,NEAR,,,,,
Warning,321.8316086526077,0.0,NEAR,,355.8316086526077,321.8316086526077,RECOVERY,,360.0,355.8316086526077,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5002.541053462344,121.74416074909418,44.99605332326488,44.990424842371176,351.8555849579945,-9.879449957443562,1,5020.592577681124,153.73035473011248,AC1,45.006939823672326,45.01195402349987,270.4727447122373,-4.568225183487624,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,-2415.612267024922,-6000.0,RECOVERY,,6000.0,-2415.612267024922,NEAR,,,,,
Warning,321.8316086526077,0.0,NEAR,,355.8316086526077,321.8316086526077,RECOVERY,,360.0,355.8316086526077,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4991.908507148252,120.62287392193254,44.9965864901153,44.990340634102836,352.5684235831937,7.4209159132709175,2,5005.094990488191,150.3832120093218,AC1,45.00693476989253,45.01097538252721,272.02126788414546,11.441513484542982,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,-2415.612267024922,-6000.0,RECOVERY,,6000.0,-2415.612267024922,NEAR,,,,,
Warning,321.8316086526077,0.0,NEAR,,345.8555849579604,321.8316086526077,RECOVERY,,360.0,345.8555849579604,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4998.274438479075,119.62471587164698,44.997048684705916,44.99003770882487,348.2338679996837,0.8371420313482656,3,5003.432312088185,147.92838545683222,AC1,45.00702046977934,45.00992872554522,268.48414652380274,3.875310856655952,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,-2035.2082615456238,-6000.0,RECOVERY,,6000.0,-2035.2082615456238,NEAR,,,,,
Warning,312.9036866209734,0.0,NEAR,,326.9036866209734,312.9036866209734,RECOVERY,,327.8555849579604,326.9036866209734,NEAR,,340.56842358324946,327.8555849579604,RECOVERY,,360.0,340.56842358324946,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4997.077540335068,122.56678450291183,44.99762339025939,44.989921786167315,339.9036866208815,0.3008861104561024,4,4993.6300567987955,150.29997496836145,AC1,45.00697794264915,45.0089590852477,267.82831430839565,1.2278076384508998,16399.999999999996,100.0,RECOVERY,,50000.0,16399.999999999996,NEAR,,-2035.2082615456238,-6000.0,RECOVERY,,6000.0,-2035.2082615456238,NEAR,,,,,
Warning,312.9036866209734,0.0,NEAR,,326.9036866209734,312.9036866209734,RECOVERY,,360.0,326.9036866209734,NEAR,,,,,,,,,,,,,,,,,,253.2507675405293,10.0,NEAR,,700.0,253.2507675405293,RECOVERY,,4992.6814964807545,120.53162130074999,44.99809086699769,44.989551468309905,335.0746962487199,-0.5096332747461323,5,5006.996964909582,147.7915235441192,AC1,45.006953628068075,45.008046035552155,269.0225671724519,-0.11466726783628083,50000.0,100.0,RECOVERY,,,,,,-2035.2082615456238,-6000.0,RECOVERY,,6000.0,-2035.2082615456238,NEAR,,,,,
Warning,310.23386799964265,0.0,NEAR,,312.4123236302029,310.23386799964265,RECOVERY,,312.9036866209734,312.4123236302029,NEAR,,325.2338679996427,312.9036866209734,RECOVERY,,360.0,325.2338679996427,NEAR,,,,,,,,,,253.74018983658823,10.0,NEAR,,700.0,253.74018983658823,RECOVERY,,5011.683458988635,120.24634281970796,44.99853196501416,44.988924808677524,320.4123236302413,-2.5403542753263855,6,5010.109851897095,148.69960544709122,AC1,45.00699167761814,45.00700395068418,269.81514168905875,0.9135117324849189,50000.0,100.0,RECOVERY,,,,,,-2400.0697392374714,-6000.0,RECOVERY,,6000.0,-2400.0697392374714,NEAR,,,,,
Warning,360.0,0.0,NEAR,,,,,,,,,,,,,,,,,,,,,,,,,,253.74018983658823,10.0,NEAR,,700.0,253.74018983658823,RECOVERY,,4994.221703944524,118.93081839971964,44.99888853209368,44.98851606417508,320.31951654880356,5.275717228193118,7,5015.345870197778,149.10331379905745,AC1,45.006961935114695,45.00610742334996,269.96630952375045,-2.084118634926764,50000.0,100.0,RECOVERY,,,,,,-2600.3215107767915,-6000.0,RECOVERY,,6000.0,-2600.3215107767915,NEAR,,,,,
Warning,311.8573581136117,0.0,NEAR,,312.4123236302029,311.8573581136117,RECOVERY,,360.0,312.4123236302029,NEAR,,,,,,,,,,,,,,,,,,254.29472683102904,10.0,NEAR,,700.0,254.29472683102904,RECOVERY,,5011.849728555514,120.25192498614452,44.99929457780825,44.987965299950964,317.8573581135215,4.387835605813103,8,5009.746245703977,150.36878807095115,AC1,45.006906331218055,45.0050797328977,270.11592189671416,1.3120588729269458,50000.0,100.0,RECOVERY,,,,,,-2600.3215107767915,-6000.0,RECOVERY,,3063.74716649865,-2600.3215107767915,NEAR,,6000.0,3063.74716649865,RECOVERY,
Warning,140.31951654883449,0.0,NEAR,,283.3195165488345,140.31951654883449,RECOVERY,,311.8573581136117,283.3195165488345,NEAR,,312.4123236302029,311.8573581136117,RECOVERY,,360.0,312.4123236302029,NEAR,,,,,,,,,,253.74018983658823,10.0,NEAR,,700.0,253.74018983658823,RECOVERY,,5008.282408191718,117.59892770063986,44.99966969116122,44.987431534207225,306.92219169879786,-4.406183783612879,9,5011.536913329772,149.76091329767837,AC1,45.00688971106959,45.00406032274958,267.5898386823757,6.035941204375238,50000.0,100.0,RECOVERY,,,,,,-2567.359012522218,-6000.0,RECOVERY,,3063.74716649865,-2567.359012522218,NEAR,,6000.0,3063.74716649865,RECOVERY,
Warning,140.31951654883449,0.0,NEAR,,283.3195165488345,140.31951654883449,RECOVERY,,311.8573581136117,283.3195165488345,NEAR,,316.86566789153335,311.8573581136117,RECOVERY,,360.0,316.86566789153335,NEAR,,,,,,,,,,250.0984422036985,10.0,NEAR,,700.0,250.0984422036985,RECOVERY,,4998.285251442894,118.37286594882072,45.000093814103046,44.986770438418695,320.8656678915912,3.205821521071876,10,5009.731935367469,151.07287300360494,AC1,45.00687416512525,45.003158060439105,269.8388334753565,-0.8172063557447724,50000.0,100.0,RECOVERY,,,,,,3063.74716649865,-6000.0,NEAR,,6000.0,3063.74716649865,RECOVERY,,,,,
