alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,hs_band_2_high,hs_band_2_low,hs_band_2_type,hs_band_2_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,0.7421204586077356,0.0,RECOVERY,,323.74212045860776,0.7421204586077356,NEAR,,360.0,323.74212045860776,RECOVERY,,,,,,,,,,236.90329380668354,10.0,RECOVERY,,700.0,236.90329380668354,NEAR,,,,,,4997.95797421167,119.30136184546437,44.99766515992191,45.00850414586988,13.742120458642825,3.8041141019263867,0,5012.249536489151,151.84517621233755,AC1,45.00838294065804,45.03217533976949,270.16967135809375,-1.782993533035947,16599.999999999996,100.0,NEAR,,50000.0,16599.999999999996,RECOVERY,,,,,,3448.8413586469233,-6000.0,NEAR,,6000.0,3448.8413586469233,RECOVERY,,,,,
Warning,0.7421204586077356,0.0,RECOVERY,,323.74212045860776,0.7421204586077356,NEAR,,360.0,323.74212045860776,RECOVERY,,,,,,,,,,236.90329380668354,10.0,RECOVERY,,700.0,236.90329380668354,NEAR,,,,,,5007.766144641397,122.8870962115586,44.9982750237397,45.008425441744606,352.4526536321311,-7.530132117448125,1,4983.008994192994,152.31664281719745,AC1,45.0083419313414,45.03124560397158,267.27435510699286,4.694235767920223,16599.999999999996,100.0,NEAR,,50000.0,16599.999999999996,RECOVERY,,,,,,3448.8413586469233,-6000.0,NEAR,,6000.0,3448.8413586469233,RECOVERY,,,,,
Warning,0.7421204586077356,0.0,RECOVERY,,307.5174595916751,0.7421204586077356,NEAR,,320.5174595916751,307.5174595916751,RECOVERY,,323.74212045860776,320.5174595916751,NEAR,,360.0,323.74212045860776,RECOVERY,,236.90329380668354,10.0,RECOVERY,,258.5896874622482,236.90329380668354,NEAR,,700.0,258.5896874622482,RECOVERY,,4996.466105204147,117.5966954408492,44.99882481778976,45.00830207428941,355.51745959170614,-3.560732631327861,2,5002.191571234215,149.338500851381,AC1,45.00836674776894,45.03030028366388,273.36905940679566,-0.8740792727902251,16099.999999999998,100.0,RECOVERY,,16599.999999999996,16099.999999999998,NEAR,,50000.0,16599.999999999996,RECOVERY,,-3082.309471938602,-6000.0,RECOVERY,,3448.8413586469233,-3082.309471938602,NEAR,,6000.0,3448.8413586469233,RECOVERY,
Warning,172.45265363216578,0.0,NEAR,,320.5174595916751,172.45265363216578,RECOVERY,,323.74212045860776,320.5174595916751,NEAR,,345.4526536321657,323.74212045860776,RECOVERY,,360.0,345.4526536321657,NEAR,,700.0,10.0,RECOVERY,,,,,,,,,,5013.68368602452,117.29545575385863,44.99932514572026,45.00797469434991,327.8366145772454,10.655849270916624,3,5000.998760584453,147.9573957332714,AC1,45.00836627778732,45.02929891802782,271.40691056012565,-1.9938338371797706,16099.999999999998,100.0,RECOVERY,,16799.999999999996,16099.999999999998,NEAR,,50000.0,16799.999999999996,RECOVERY,,-3082.309471938602,-6000.0,RECOVERY,,3448.8413586469233,-3082.309471938602,NEAR,,6000.0,3448.8413586469233,RECOVERY,
Warning,172.45265363216578,0.0,NEAR,,321.6718312372166,172.45265363216578,RECOVERY,,360.0,321.6718312372166,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,,,,,5010.735886994557,117.26456398762917,44.999792678447804,45.00755968061481,330.67183123728455,2.7246690321223714,4,5000.927262942219,149.59588300370027,AC1,45.00827523285378,45.02818111121596,269.11304750577676,3.2020279506870706,16199.999999999996,100.0,RECOVERY,,16799.999999999996,16199.999999999996,NEAR,,50000.0,16799.999999999996,RECOVERY,,-3082.309471938602,-6000.0,RECOVERY,,3336.352171677627,-3082.309471938602,NEAR,,6000.0,3336.352171677627,RECOVERY,
Warning,147.8366145771976,0.0,NEAR,,282.7358993915966,147.8366145771976,RECOVERY,,307.5174595916751,282.7358993915966,NEAR,,320.5174595916751,307.5174595916751,RECOVERY,,360.0,320.5174595916751,NEAR,,258.5896874622482,10.0,NEAR,,700.0,258.5896874622482,RECOVERY,,,,,,5019.091602817589,120.1408451102902,45.00013277473483,45.0069516580388,316.73589939160433,-3.410347347639329,5,5007.757441578074,152.0690352000847,AC1,45.00830483526214,45.02723022322672,272.4184339984694,3.4495144838054603,16199.999999999996,100.0,RECOVERY,,16799.999999999996,16199.999999999996,NEAR,,50000.0,16799.999999999996,RECOVERY,,-2700.931620340127,-6000.0,RECOVERY,,3336.352171677627,-2700.931620340127,NEAR,,6000.0,3336.352171677627,RECOVERY,
Warning,147.8366145771976,0.0,NEAR,,282.7358993915966,147.8366145771976,RECOVERY,,307.0246580119686,282.7358993915966,NEAR,,316.0246580119686,307.0246580119686,RECOVERY,,360.0,316.0246580119686,NEAR,,252.81252169755166,10.0,NEAR,,700.0,252.81252169755166,RECOVERY,,,,,,5004.067793648568,117.19688682388758,45.000451899398044,45.00642514865381,313.0246580119452,-2.8126207220415407,6,4995.812848917713,147.92703536601482,AC1,45.00833427862472,45.02631194432942,264.7554121656678,-3.9051337356890343,50000.0,100.0,RECOVERY,,,,,,,,,,-3363.647828322373,-6000.0,RECOVERY,,2697.608124196179,-3363.647828322373,NEAR,,6000.0,2697.608124196179,RECOVERY,
Warning,136.73589939159663,0.0,NEAR,,277.4692197624122,136.73589939159663,RECOVERY,,311.6718312372166,277.4692197624122,NEAR,,316.0246580119686,311.6718312372166,RECOVERY,,360.0,316.0246580119686,NEAR,,252.81252169755166,10.0,NEAR,,700.0,252.81252169755166,RECOVERY,,,,,,5002.109053234842,120.04180599322656,45.00087221103145,45.00586474419504,314.4692197624015,-5.417294183981685,7,5003.531059684291,152.58643972940325,AC1,45.00830887828761,45.02531750745377,275.1345847702234,0.5130630724920165,50000.0,100.0,RECOVERY,,,,,,,,,,-2866.396492909788,-6000.0,RECOVERY,,3336.352171677627,-2866.396492909788,NEAR,,6000.0,3336.352171677627,RECOVERY,
Warning,136.73589939159663,0.0,NEAR,,277.4692197624122,136.73589939159663,RECOVERY,,313.2256972714267,277.4692197624122,NEAR,,316.0246580119686,313.2256972714267,RECOVERY,,360.0,316.0246580119686,NEAR,,252.81252169755166,10.0,NEAR,,700.0,252.81252169755166,RECOVERY,,,,,,5006.637185012768,120.84184787146255,45.00134645844695,45.00528025545012,315.2256972714563,-0.8097217802466652,8,4994.855520943316,154.93470515802684,AC1,45.00837546357031,45.02435995883168,269.3014743515876,-3.7861621131856205,16199.999999999996,100.0,RECOVERY,,16599.999999999996,16199.999999999996,NEAR,,50000.0,16599.999999999996,RECOVERY,,-2866.396492909788,-6000.0,RECOVERY,,2446.33450353513,-2866.396492909788,NEAR,,6000.0,2446.33450353513,RECOVERY,
Warning,313.2256972714267,0.0,NEAR,,323.2256972714267,313.2256972714267,RECOVERY,,360.0,323.2256972714267,NEAR,,,,,,,,,,249.79269660054166,10.0,NEAR,,700.0,249.79269660054166,RECOVERY,,,,,,5004.518906280491,118.21557681933372,45.001752900050796,45.00478583779985,317.42453634171994,3.6791215882855544,9,4984.451753489213,146.76589067629774,AC1,45.008239302948034,45.023258033966655,270.755488456,5.030821008017972,50000.0,100.0,RECOVERY,,,,,,,,,,-2866.396492909788,-6000.0,RECOVERY,,2446.33450353513,-2866.396492909788,NEAR,,6000.0,2446.33450353513,RECOVERY,
