alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,35.045762230677234,0.0,NEAR,,194.04576223067724,35.045762230677234,RECOVERY,,360.0,194.04576223067724,NEAR,,,,,,,,,,202.0664994308237,10.0,RECOVERY,,700.0,202.0664994308237,NEAR,,5011.396972744201,121.9575443418427,44.99073974522487,45.0086975999033,14.045762230787085,-0.08259609144744995,0,5001.491158545493,147.74018389489694,AC1,45.00247733350064,45.0308836311414,270.60889201197523,1.462223405458908,50000.0,100.0,NEAR,,,,,,,,,,-2616.259073119573,-6000.0,RECOVERY,,2983.7409268804267,-2616.259073119573,NEAR,,6000.0,2983.7409268804267,RECOVERY,
Warning,35.045762230677234,0.0,NEAR,,194.04576223067724,35.045762230677234,RECOVERY,,360.0,194.04576223067724,NEAR,,,,,,,,,,202.0664994308237,10.0,RECOVERY,,700.0,202.0664994308237,NEAR,,4985.050130456576,121.16295840358725,44.991182104346535,45.009376757157376,41.31150766644072,7.496779284226714,1,5008.087877564591,147.9197738697715,AC1,45.00254239427496,45.02996975532464,271.88746386314375,-1.046962066536662,50000.0,100.0,NEAR,,,,,,,,,,-2616.259073119573,-6000.0,RECOVERY,,2983.7409268804267,-2616.259073119573,NEAR,,6000.0,2983.7409268804267,RECOVERY,
Warning,35.045762230677234,0.0,NEAR,,221.3115076664542,35.045762230677234,RECOVERY,,360.0,221.3115076664542,NEAR,,,,,,,,,,212.81796361931345,10.0,RECOVERY,,700.0,212.81796361931345,NEAR,,5022.086621551606,117.19968639062027,44.991565941548615,45.00988462434112,42.24717696982241,0.08849042341471368,2,4982.961886495535,149.15344194328918,AC1,45.00243693324788,45.028890863968435,268.3820860685682,10.366745758548053,50000.0,100.0,RECOVERY,,,,,,,,,,-2616.259073119573,-6000.0,RECOVERY,,2983.7409268804267,-2616.259073119573,NEAR,,6000.0,2983.7409268804267,RECOVERY,
Warning,35.045762230677234,0.0,NEAR,,222.24717696979252,35.045762230677234,RECOVERY,,360.0,222.24717696979252,NEAR,,,,,,,,,,250.52194795916859,10.0,RECOVERY,,700.0,250.52194795916859,NEAR,,5009.668466376617,122.85865281985818,44.99198126839135,45.01026413944404,41.930176324681376,3.787029188372296,3,4982.312831826317,147.4548484392291,AC1,45.00240557793574,45.0279870286336,272.54664371683384,-7.6648479668592095,50000.0,100.0,RECOVERY,,,,,,,,,,-2616.259073119573,-6000.0,RECOVERY,,2983.7409268804267,-2616.259073119573,NEAR,,6000.0,2983.7409268804267,RECOVERY,
Warning,49.183299926711214,0.0,NEAR,,222.24717696979252,49.183299926711214,RECOVERY,,360.0,222.24717696979252,NEAR,,,,,,,,,,250.52194795916859,10.0,RECOVERY,,700.0,250.52194795916859,NEAR,,5000.672948213684,116.30757037071741,44.9925181688628,45.01083999527681,39.183299926755026,-8.569490575531528,4,5008.112191998282,150.4877175853696,AC1,45.0024917543334,45.02698599007834,270.85238197418977,-0.7268295261752157,50000.0,100.0,RECOVERY,,,,,,,,,,-2886.9075936085756,-6000.0,RECOVERY,,3975.7439535879334,-2886.9075936085756,NEAR,,6000.0,3975.7439535879334,RECOVERY,
Warning,49.183299926711214,0.0,NEAR,,232.94695984801538,49.183299926711214,RECOVERY,,360.0,232.94695984801538,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4997.218027188331,121.33349235046454,44.99284733612614,45.01141161321107,52.94695984807481,-8.631187699213177,5,4998.499537182808,149.4428237974352,AC1,45.002502967354594,45.02605701207154,269.63288955602746,3.962973736013382,50000.0,100.0,RECOVERY,,,,,,,,,,-2799.0526966955126,-6000.0,RECOVERY,,6000.0,-2799.0526966955126,NEAR,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4985.448162589669,122.5411618723444,44.99307783626365,45.01189374000203,54.690445991449394,-8.843880909767696,6,5005.904610826435,147.61365598346825,AC1,45.00244769936405,45.02509317392619,268.38715548175486,8.047952910545321,50000.0,100.0,RECOVERY,,,,,,,,,,-2799.0526966955126,-6000.0,RECOVERY,,6000.0,-2799.0526966955126,NEAR,,,,,
Warning,49.183299926711214,0.0,NEAR,,344.171788747007,49.183299926711214,RECOVERY,,360.0,344.171788747007,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4990.449078931528,118.75764328560194,44.99361879351104,45.01201883292267,352.171788747123,-2.2234907159916686,7,4994.933287699446,150.616317737637,AC1,45.0025284671979,45.024110867593244,272.0723633034324,5.251884137978868,50000.0,100.0,RECOVERY,,,,,,,,,,-2640.921438930654,-6000.0,RECOVERY,,6000.0,-2640.921438930654,NEAR,,,,,
Warning,55.946959848015396,0.0,NEAR,,344.171788747007,55.946959848015396,RECOVERY,,360.0,344.171788747007,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5004.284730185989,118.7072697859689,44.99418402826773,45.01182314227056,339.22286158629606,-4.706984679560607,8,4987.042044035349,149.6262234698562,AC1,45.00239379048554,45.022980830007725,269.8816403347137,-3.3727770046530505,16299.999999999998,100.0,RECOVERY,,16500.0,16299.999999999998,NEAR,,50000.0,16500.0,RECOVERY,,-2640.921438930654,-6000.0,RECOVERY,,6000.0,-2640.921438930654,NEAR,,,,,
Warning,172.171788747007,0.0,NEAR,,344.171788747007,172.171788747007,RECOVERY,,360.0,344.171788747007,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4990.014918420912,120.00922148017372,44.99469334775209,45.0114268579957,339.69991269100547,1.4787533561515827,9,5012.37216997558,146.90054020153192,AC1,45.00242273086345,45.02206077416432,273.1751148321166,2.4713750692387526,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-1808.906819655209,-6000.0,RECOVERY,,6000.0,-1808.906819655209,NEAR,,,,,
Warning,172.171788747007,0.0,NEAR,,335.09897805123813,172.171788747007,RECOVERY,,360.0,335.09897805123813,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5000.460119921375,118.87911854215494,44.99519603827659,45.01107849401149,335.09897805119965,4.47596263119091,10,4991.816867861903,147.22872607493312,AC1,45.00251395669079,45.021193707778124,268.49098622872435,-3.715461858153711,16299.999999999998,100.0,RECOVERY,,16500.0,16299.999999999998,NEAR,,50000.0,16500.0,RECOVERY,,-1808.906819655209,-6000.0,RECOVERY,,1981.095006139949,-1808.906819655209,NEAR,,6000.0,1981.095006139949,RECOVERY,
Warning,155.09897805123813,0.0,NEAR,,327.1068990830527,155.09897805123813,RECOVERY,,360.0,327.1068990830527,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5000.2133055544655,118.88970752487384,44.99564539938832,45.01073161911267,329.1068990831089,-5.216071734234562,11,5003.537371630264,149.43851614691678,AC1,45.0024750470945,45.02014456754154,269.71001136388213,4.015994618176967,16299.999999999998,100.0,RECOVERY,,16500.0,16299.999999999998,NEAR,,50000.0,16500.0,RECOVERY,,-1826.785774455618,-6000.0,RECOVERY,,1981.095006139949,-1826.785774455618,NEAR,,6000.0,1981.095006139949,RECOVERY,
Warning,155.09897805123813,0.0,NEAR,,327.1068990830527,155.09897805123813,RECOVERY,,360.0,327.1068990830527,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4987.173064947713,119.94554272735645,44.99620000957347,45.01019302831777,324.5528956338989,5.686986007387736,12,4982.25261938488,151.77194061814663,AC1,45.00253327291326,45.01923559196658,267.5294104786645,7.835769626396383,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-1808.906819655209,-6000.0,RECOVERY,,6000.0,-1808.906819655209,NEAR,,,,,
Warning,155.09897805123813,0.0,NEAR,,327.1068990830527,155.09897805123813,RECOVERY,,360.0,327.1068990830527,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4984.49823185701,120.93774637188126,44.9965947658334,45.00975388892296,325.96209120920275,-2.5079370477880976,13,4999.426510471489,154.22925334946427,AC1,45.002496026417596,45.01827002291867,267.03451806650367,-5.4722517324767175,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-1826.785774455618,-6000.0,RECOVERY,,1981.095006139949,-1826.785774455618,NEAR,,6000.0,1981.095006139949,RECOVERY,
Warning,305.57161728698014,0.0,NEAR,,313.57161728698014,305.57161728698014,RECOVERY,,360.0,313.57161728698014,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5014.687673162232,121.85587898460157,44.996978746310326,45.00920073399549,317.5716172870732,4.781709519896919,14,4994.181525612826,149.88608151423298,AC1,45.002561053760004,45.017190297818054,268.42547595626377,2.9103926376440437,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-1826.785774455618,-6000.0,RECOVERY,,2741.281401554519,-1826.785774455618,NEAR,,6000.0,2741.281401554519,RECOVERY,
Warning,305.57161728698014,0.0,NEAR,,309.27382496001894,305.57161728698014,RECOVERY,,360.0,309.27382496001894,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4976.2491837198595,124.7086026971189,44.99742977650009,45.00879069986283,309.2738249600645,-11.055877354240415,15,4992.907738174962,149.89367646911913,AC1,45.00244391859893,45.01623738252171,267.41765868133,3.6607361015896176,15999.999999999996,100.0,RECOVERY,,50000.0,15999.999999999996,NEAR,,,,,,-2176.3538098898466,-6000.0,RECOVERY,,2741.281401554519,-2176.3538098898466,NEAR,,6000.0,2741.281401554519,RECOVERY,
Warning,129.27382496001894,0.0,NEAR,,243.2773596000618,129.27382496001894,RECOVERY,,305.57161728698014,243.2773596000618,NEAR,,309.27382496001894,305.57161728698014,RECOVERY,,360.0,309.27382496001894,NEAR,,700.0,10.0,RECOVERY,,,,,,4998.241150907692,117.08746730866957,44.997749227451635,45.00802744373314,300.2773596000531,-0.4757651081403999,16,4996.674411877439,151.9496216089653,AC1,45.002488596302214,45.01520170670997,269.9438093856544,-2.8909287410148217,16599.999999999996,100.0,NEAR,,50000.0,16599.999999999996,RECOVERY,,,,,,-3793.688395233872,-6000.0,RECOVERY,,1806.3454511534603,-3793.688395233872,NEAR,,6000.0,1806.3454511534603,RECOVERY,
Warning,129.27382496001894,0.0,NEAR,,243.2773596000618,129.27382496001894,RECOVERY,,305.57161728698014,243.2773596000618,NEAR,,309.27382496001894,305.57161728698014,RECOVERY,,360.0,309.27382496001894,NEAR,,700.0,10.0,RECOVERY,,,,,,4984.7652184685185,117.20616997920018,44.998078670384345,45.00750848104417,310.5007570768455,-0.4489229157937636,17,4992.029996863751,148.76136662434854,AC1,45.00248459739931,45.01415113837411,268.54322607409154,-3.1600019344836454,16599.999999999996,100.0,NEAR,,50000.0,16599.999999999996,RECOVERY,,,,,,2011.6293472847005,-6000.0,NEAR,,6000.0,2011.6293472847005,RECOVERY,,,,,
Warning,129.27382496001894,0.0,NEAR,,243.2773596000618,129.27382496001894,RECOVERY,,297.1929120374797,243.2773596000618,NEAR,,302.1929120374797,297.1929120374797,RECOVERY,,360.0,302.1929120374797,NEAR,,247.8305667070211,10.0,NEAR,,700.0,247.8305667070211,RECOVERY,,4997.19889469462,124.9620672358987,44.99834588094668,45.00684029288402,314.19291203745365,3.6804750421770955,18,4996.743970251699,153.601558675413,AC1,45.00253393182372,45.01325192018293,272.55228106562174,-1.1814323664966584,50000.0,100.0,NEAR,,,,,,,,,,2011.6293472847005,-6000.0,NEAR,,6000.0,2011.6293472847005,RECOVERY,,,,,
