alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,hs_band_2_high,hs_band_2_low,hs_band_2_type,hs_band_2_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,319.3533971646433,0.0,NEAR,,346.3533971646433,319.3533971646433,RECOVERY,,360.0,346.3533971646433,NEAR,,,,,,,,,,229.08886647163575,10.0,RECOVERY,,700.0,229.08886647163575,NEAR,,,,,,4994.351557025972,117.85349531335548,44.989009457800236,44.98104807563497,7.353397164656289,1.3911022183136277,0,4988.53946524463,150.72483107526688,AC1,45.000758501658865,45.00319696658227,269.2890832406498,7.6669409462943445,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-2426.1609806469273,-6000.0,RECOVERY,,6000.0,-2426.1609806469273,NEAR,,,,,
Warning,319.3533971646433,0.0,NEAR,,346.3533971646433,319.3533971646433,RECOVERY,,360.0,346.3533971646433,NEAR,,,,,,,,,,229.08886647163575,10.0,RECOVERY,,700.0,229.08886647163575,NEAR,,,,,,5013.177787140794,119.70048729224952,44.9895217401326,44.98083847267673,341.9738593625981,9.287451376223844,1,5002.556933256634,150.9275744269119,AC1,45.00082870778427,45.00211492309625,270.27854079956546,-1.4769176726864455,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-2426.1609806469273,-6000.0,RECOVERY,,6000.0,-2426.1609806469273,NEAR,,,,,
Warning,311.7345573518069,0.0,NEAR,,346.3533971646433,311.7345573518069,RECOVERY,,360.0,346.3533971646433,NEAR,,,,,,,,,,229.08886647163575,10.0,RECOVERY,,260.66469928190276,229.08886647163575,NEAR,,700.0,260.66469928190276,RECOVERY,,5003.995405450434,121.23639602992063,44.99005625060648,44.98052083969494,345.7345573518329,3.058546680202265,2,4993.796002444755,151.19080357134442,AC1,45.000944099058536,45.00114172031537,270.0403494169309,0.5179237950525016,16299.999999999998,100.0,RECOVERY,,16799.999999999996,16299.999999999998,NEAR,,50000.0,16799.999999999996,RECOVERY,,-2426.1609806469273,-6000.0,RECOVERY,,4128.238459886578,-2426.1609806469273,NEAR,,6000.0,4128.238459886578,RECOVERY,
Warning,161.95146907665352,0.0,NEAR,,334.97385936256086,161.95146907665352,RECOVERY,,360.0,334.97385936256086,NEAR,,,,,,,,,,229.08886647163575,10.0,RECOVERY,,260.66469928190276,229.08886647163575,NEAR,,700.0,260.66469928190276,RECOVERY,,5009.8013117818955,121.07635655762758,44.99062569839075,44.9803182143396,341.95146907666594,0.699135747195812,3,5006.7163898883755,147.03136638487717,AC1,45.00084200185664,45.00022559502918,272.61923803049007,6.162062138442873,16299.999999999998,100.0,RECOVERY,,16799.999999999996,16299.999999999998,NEAR,,50000.0,16799.999999999996,RECOVERY,,-2426.1609806469273,-6000.0,RECOVERY,,4128.238459886578,-2426.1609806469273,NEAR,,6000.0,4128.238459886578,RECOVERY,
Warning,161.97385936256092,0.0,NEAR,,323.7345573518069,161.97385936256092,RECOVERY,,360.0,323.7345573518069,NEAR,,,,,,,,,,229.87261109078878,10.0,NEAR,,700.0,229.87261109078878,RECOVERY,,,,,,4990.15355216704,118.25668838551904,44.99111798660751,44.97989136048383,332.7154535323796,-4.736538978158341,4,5000.050116509666,146.834331014308,AC1,45.00089449806236,44.99923147294335,266.4973064641893,1.3221766872011362,16199.999999999996,100.0,RECOVERY,,16799.999999999996,16199.999999999996,NEAR,,50000.0,16799.999999999996,RECOVERY,,-2632.3895626295857,-6000.0,RECOVERY,,4128.238459886578,-2632.3895626295857,NEAR,,6000.0,4128.238459886578,RECOVERY,
Warning,161.97385936256092,0.0,NEAR,,314.95146907665355,161.97385936256092,RECOVERY,,360.0,314.95146907665355,NEAR,,,,,,,,,,260.66469928190276,10.0,NEAR,,700.0,260.66469928190276,RECOVERY,,,,,,5005.574248153171,121.04910567298325,44.99143734183979,44.97938477387561,319.20432461443556,-8.236448072269983,5,5001.24171207989,151.66394919380255,AC1,45.00087857365468,44.99827890026634,268.0038221836338,-6.2270983589509745,16199.999999999996,100.0,RECOVERY,,16599.999999999996,16199.999999999996,NEAR,,50000.0,16599.999999999996,RECOVERY,,-2632.3895626295857,-6000.0,RECOVERY,,6000.0,-2632.3895626295857,NEAR,,,,,
Warning,152.71545353235337,0.0,NEAR,,314.2043246144761,152.71545353235337,RECOVERY,,360.0,314.2043246144761,NEAR,,,,,,,,,,244.29067727401844,10.0,NEAR,,700.0,244.29067727401844,RECOVERY,,,,,,4995.50267460789,120.52953802873894,44.9919062958088,44.97868311385765,306.4824761760807,-0.9987312679600707,6,5005.364668546232,152.00261257749116,AC1,45.000824275283804,44.99728838757629,267.7160121367556,7.079089494715091,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-1896.6006432992324,-6000.0,RECOVERY,,6000.0,-1896.6006432992324,NEAR,,,,,
Warning,126.48247617603992,0.0,NEAR,,293.27486587300285,126.48247617603992,RECOVERY,,307.20432461447604,293.27486587300285,NEAR,,311.7345573518069,307.20432461447604,RECOVERY,,360.0,311.7345573518069,NEAR,,229.87261109078878,10.0,NEAR,,700.0,229.87261109078878,RECOVERY,,,,,,5001.559340801832,124.50151162854765,44.99219516254152,44.97811010316117,302.2748658730656,-6.71187816735782,7,4998.525062918302,151.3714935939102,AC1,45.00082900517628,44.99629307638505,268.8348608483035,5.445166165419363,16199.999999999996,100.0,RECOVERY,,50000.0,16199.999999999996,NEAR,,,,,,-1921.2358597161076,-6000.0,RECOVERY,,6000.0,-1921.2358597161076,NEAR,,,,,
Warning,126.48247617603992,0.0,NEAR,,292.4303452327746,126.48247617603992,RECOVERY,,360.0,292.4303452327746,NEAR,,,,,,,,,,244.29067727401844,10.0,NEAR,,700.0,244.29067727401844,RECOVERY,,,,,,5004.499316153465,120.29235143850212,44.99251994297698,44.977703129743084,314.4303452327678,1.0477742178528153,8,5009.764613651998,150.48903901674103,AC1,45.00085610931546,44.995351098080626,268.102067084715,-4.777268310516579,16199.999999999996,100.0,RECOVERY,,16599.999999999996,16199.999999999996,NEAR,,50000.0,16599.999999999996,RECOVERY,,-1921.2358597161076,-6000.0,RECOVERY,,6000.0,-1921.2358597161076,NEAR,,,,,
Warning,122.27486587300287,0.0,NEAR,,292.4303452327746,122.27486587300287,RECOVERY,,360.0,292.4303452327746,NEAR,,,,,,,,,,244.29067727401844,10.0,NEAR,,700.0,244.29067727401844,RECOVERY,,,,,,4999.715023235904,120.1040609103034,44.99274656780331,44.97681093121556,288.5908645939937,-5.694292592760968,9,4996.981932891349,150.2346963284521,AC1,45.000725391785316,44.994415680117065,271.63565546133714,-4.203229804460861,16199.999999999996,100.0,RECOVERY,,16599.999999999996,16199.999999999996,NEAR,,50000.0,16599.999999999996,RECOVERY,,-1921.2358597161076,-6000.0,RECOVERY,,2579.076261267531,-1921.2358597161076,NEAR,,6000.0,2579.076261267531,RECOVERY,
