alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,56.9322993725119,0.0,NEAR,,243.9829669620574,56.9322993725119,RECOVERY,,360.0,243.9829669620574,NEAR,,700.0,10.0,RECOVERY,,,,,,4991.5342789804645,124.98832865455157,44.99358133206522,45.008529710007714,61.93229937254761,-3.144560121307802,10,5005.825821333783,149.83613880974576,AC1,45.00176929759896,45.01602121682331,268.43152809770214,-5.833614137226862,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,53.98296696205738,0.0,NEAR,,245.55783048437894,53.98296696205738,RECOVERY,,360.0,245.55783048437894,NEAR,,700.0,10.0,RECOVERY,,,,,,5005.710009470598,117.90342122363796,44.99389878391165,45.00933535493627,62.41483618425112,7.16253181954232,11,5004.599800239874,148.95863476229783,AC1,45.00182338840541,45.01510681525653,269.371907237108,-6.204999927807893,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,53.98296696205738,0.0,NEAR,,243.9829669620574,53.98296696205738,RECOVERY,,360.0,243.9829669620574,NEAR,,700.0,10.0,RECOVERY,,,,,,4994.054347161876,120.235559817319,44.99414343843319,45.009982375421764,56.43507884847279,1.5644739368823948,12,4998.217229430053,149.8252960179973,AC1,45.001694993931025,45.01413430350428,268.2119651669292,4.351921246054224,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5026.916919786867,120.41024206805639,44.99448976669937,45.01056688970437,55.09965299460816,0.3656455621088494,13,4997.246381364889,152.45683207411705,AC1,45.00165893452989,45.01308255811485,267.6349958900494,8.371995771106853,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5004.614570901428,119.62815302810787,44.99494469561065,45.01045251685894,353.2188986853059,1.2829465220560028,14,4995.695267902013,153.96142468153397,AC1,45.00181182170326,45.01219185088484,273.35443854413575,-6.054830756206292,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,236.43507884856686,0.0,RECOVERY,,357.218898685311,236.43507884856686,NEAR,,360.0,357.218898685311,RECOVERY,,700.0,10.0,RECOVERY,,,,,,5006.061045984704,119.01026929924096,44.99550543406044,45.01064269857964,4.051440622903078,4.087692185713,15,5006.896520285534,148.3410927368883,AC1,45.0017364802079,45.011133286898655,267.7087931850155,1.0760343734938795,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,184.05144062288315,0.0,RECOVERY,,353.93112530371565,184.05144062288315,NEAR,,360.0,353.93112530371565,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4999.779436922575,118.7606186823142,44.99608982388259,45.01058018943738,354.93112530377437,-3.071277989906189,16,4987.093817859643,149.02081532421002,AC1,45.00172543106936,45.01015387788447,265.236860973857,6.8870962830933955,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,184.05144062288315,0.0,RECOVERY,,353.93112530371565,184.05144062288315,NEAR,,360.0,353.93112530371565,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4978.408257514778,119.08898288741314,44.996748386765574,45.010500118908794,359.45671667053,4.087098732278142,17,4994.4398419045965,152.31310209761008,AC1,45.00174734704311,45.009216547131,268.85399303250614,1.0264459086824982,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5004.137248678695,122.06566748799848,44.997097028095645,45.01042803890678,357.6417559371444,-0.37536200178769635,18,4992.658825403563,150.14871110176207,AC1,45.001750385192175,45.008193325172826,266.3837066772952,5.196421233505731,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4990.807569849439,120.61926507357539,44.99774586273295,45.010464713251324,2.4600295615453955,5.813372480151713,19,4990.058606349989,151.60012085852685,AC1,45.00174268360431,45.00718236590568,269.92647244228067,1.3347960024946235,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
