alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit
Warning,65.82196653977765,0.0,RECOVERY,,248.82196653977766,65.82196653977765,NEAR,,360.0,248.82196653977766,RECOVERY,,337.2689795757487,10.0,RECOVERY,,700.0,337.2689795757487,NEAR,,4656.151861110673,178.65059961494313,44.99923436167435,45.023437673880835,245.82196653976587,-257,0,4664.685409279908,100.16486020994952,AC1,44.98333644364896,44.99724824898472,19.50568869280855,-282,50000.0,100.0,RECOVERY,
Warning,65.82196653977765,0.0,RECOVERY,,248.82196653977766,65.82196653977765,NEAR,,360.0,248.82196653977766,RECOVERY,,337.2689795757487,10.0,RECOVERY,,700.0,337.2689795757487,NEAR,,4651.868527777339,178.65059961494313,44.99901552968614,45.023979258659715,245.749862521309,-257,1,4659.985409279908,100.16486020994952,AC1,44.982262252929445,44.999382104693744,19.445067778649157,-282,50000.0,100.0,RECOVERY,
Warning,65.82196653977765,0.0,RECOVERY,,248.82196653977766,65.82196653977765,NEAR,,360.0,248.82196653977766,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4647.5851944440055,178.65059961494313,44.99926222643033,45.02129328807557,245.67759673622558,-257,2,4655.285409279908,100.16486020994952,AC1,44.98314834398059,44.99972238341589,19.384606400693077,-282,50000.0,100.0,RECOVERY,
Warning,65.82196653977765,0.0,RECOVERY,,241.67759673619062,65.82196653977765,NEAR,,360.0,241.67759673619062,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4643.301861110672,178.65059961494313,44.99694887910158,45.01886842438825,245.60516927884703,-257,3,4650.585409279908,100.16486020994952,AC1,44.98574349738083,44.99759226872559,19.324304404400994,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4639.018527777338,178.65059961494313,44.997394825715155,45.01690477479169,245.53258024729342,-257,4,4645.885409279908,100.16486020994952,AC1,44.983485930578546,44.998802977183566,19.264161634449078,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4634.735194444004,178.65059961494313,44.99627371087078,45.018303408184906,245.45982974317116,-257,5,4641.1854092799085,100.16486020994952,AC1,44.98584626461954,44.99892029715863,19.204177932543853,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4630.4518611106705,178.65059961494313,44.997175524862236,45.01479656305209,245.38691787331226,-257,6,4636.485409279909,100.16486020994952,AC1,44.986783747270344,44.99876154199975,19.144353139809315,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4626.168527777337,178.65059961494313,44.99647141749183,45.014681282140664,245.31384475015335,-257,7,4631.785409279909,100.16486020994952,AC1,44.98696880487716,44.99752972259141,19.08468709167265,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4621.885194444003,178.65059961494313,44.99748537936237,45.013093442294625,245.2406104872324,-257,8,4627.085409279909,100.16486020994952,AC1,44.986255625168,44.99706178453676,19.02517962268228,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4617.601861110669,178.65059961494313,44.99590596047539,45.01345836126236,245.1672152054004,-257,9,4622.385409279909,100.16486020994952,AC1,44.98705810238171,44.999166152121695,18.965830566753784,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4613.3185277773355,178.65059961494313,44.995802709069736,45.011323727407635,245.09365902958316,-257,10,4617.685409279909,100.16486020994952,AC1,44.98843596451095,45.0015493054627,18.90663975353451,-282,50000.0,100.0,RECOVERY,
