alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4656.151861110673,178.65059961494313,45.013839974106524,45.003919581784444,245.82196653976587,-257,0,4664.685409279908,100.16486020994952,AC1,44.99343233852004,44.97103232136756,19.50568869280855,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4651.868527777339,178.65059961494313,45.01429665099835,45.00057227173315,245.74990194925363,-257,1,4659.985409279908,100.16486020994952,AC1,44.99575376325161,44.97382250673842,19.445091043910015,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4647.5851944440055,178.65059961494313,45.0121515086014,45.003233790737966,245.6776757694127,-257,2,4655.285409279908,100.16486020994952,AC1,44.99529631628304,44.975547601167904,19.384652809036634,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4643.301861110672,178.65059961494313,45.0116291268443,45.00039646149295,245.60528809175634,-257,3,4650.585409279908,100.16486020994952,AC1,44.99618890500704,44.97303814819227,19.32437383530275,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4639.018527777338,178.65059961494313,45.01160557208914,44.99675647642519,245.5327390151872,-257,4,4645.885409279908,100.16486020994952,AC1,44.99655916475405,44.9753699264028,19.26425396679565,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4634.735194444004,178.65059961494313,45.012816303451984,44.99722408521509,245.46002864178035,-257,5,4641.1854092799085,100.16486020994952,AC1,44.995254623188096,44.97378050075583,19.204293045084295,-282,50000.0,100.0,RECOVERY,
Warning,65.5327390152508,0.0,RECOVERY,,246.46002864176901,65.5327390152508,NEAR,,360.0,246.46002864176901,RECOVERY,,700.0,10.0,RECOVERY,,4630.4518611106705,178.65059961494313,45.01146759194189,44.99695315658574,245.38715707749,-257,6,4636.485409279909,100.16486020994952,AC1,44.99712040628338,44.973789686006896,19.14449091032773,-282,50000.0,100.0,RECOVERY,
Warning,65.5327390152508,0.0,RECOVERY,,246.46002864176901,65.5327390152508,NEAR,,360.0,246.46002864176901,RECOVERY,,700.0,10.0,RECOVERY,,4626.168527777337,178.65059961494313,45.01152267899397,44.99239828443294,245.31412443324177,-257,7,4631.785409279909,100.16486020994952,AC1,44.996788278769046,44.97687938294676,19.08484739916906,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4621.885194444003,178.65059961494313,45.01259373870685,44.99660898599098,245.24093082500497,-257,8,4627.085409279909,100.16486020994952,AC1,44.99805950648818,44.975196950927774,19.025362347738298,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4617.601861110669,178.65059961494313,45.01161437600637,44.99228490228872,245.16757637256137,-257,9,4622.385409279909,100.16486020994952,AC1,44.99864382886513,44.977853478993175,18.966035588236306,-282,50000.0,100.0,RECOVERY,
