alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4656.151861110673,178.65059961494313,45.003647680294584,45.03723251374529,245.82196653976587,-257,0,4664.685409279908,100.16486020994952,AC1,44.98753383822108,45.01318943259761,19.50568869280855,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4651.868527777339,178.65059961494313,45.003620668718355,45.03963622113196,245.74987309795043,-257,1,4659.985409279908,100.16486020994952,AC1,44.98666514889015,45.0146074032097,19.445076580352886,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4647.5851944440055,178.65059961494313,45.001338721071825,45.037546100416215,245.67761793837877,-257,2,4655.285409279908,100.16486020994952,AC1,44.989159387990135,45.01612854449341,19.384623958008923,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4643.301861110672,178.65059961494313,45.00078391897164,45.03614843092278,245.6052011530652,-257,3,4650.585409279908,100.16486020994952,AC1,44.989209103090744,45.0156843616262,19.32433067232852,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4639.018527777338,178.65059961494313,45.00059427480781,45.036168812672734,245.5326228398494,-257,4,4645.885409279908,100.16486020994952,AC1,44.98977352144171,45.017475894442576,19.26419656599504,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4634.735194444004,178.65059961494313,45.001385428612295,45.03538380241655,245.45988310200994,-257,5,4641.1854092799085,100.16486020994952,AC1,44.99050443964349,45.01479323293215,19.204221483139293,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4630.4518611106705,178.65059961494313,45.00167112201442,45.033918215400895,245.38698204627326,-257,6,4636.485409279909,100.16486020994952,AC1,44.99012988149727,45.01595171940223,19.144405262126938,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4626.168527777337,178.65059961494313,45.000215478320904,45.030423801444655,245.31391978218466,-257,7,4631.785409279909,100.16486020994952,AC1,44.99076068457408,45.01298478176263,19.084747740407728,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4621.885194444003,178.65059961494313,44.999663502067094,45.029933873427005,245.24069642601364,-257,8,4627.085409279909,100.16486020994952,AC1,44.990346418591166,45.01475824055986,19.025248753025604,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4617.601861110669,178.65059961494313,44.998074346677186,45.029778590281346,245.16731209801776,-257,9,4622.385409279909,100.16486020994952,AC1,44.99064266051789,45.01600509615556,18.96590813234222,-282,50000.0,100.0,RECOVERY,
