alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit
Warning,65.82196653976538,0.0,RECOVERY,,253.82196653976538,65.82196653976538,NEAR,,360.0,253.82196653976538,RECOVERY,,700.0,10.0,RECOVERY,,4656.151861110673,178.65059961494313,45.017882627702825,45.02306483664272,245.82196653976587,-257,0,4664.685409279908,100.16486020994952,AC1,45.00047263930059,45.0002257620192,19.50568869280855,-282,50000.0,100.0,RECOVERY,
Warning,65.82196653976538,0.0,RECOVERY,,253.82196653976538,65.82196653976538,NEAR,,360.0,253.82196653976538,RECOVERY,,700.0,10.0,RECOVERY,,4651.868527777339,178.65059961494313,45.01591951592352,45.02252207074413,245.74990598522146,-257,1,4659.985409279908,100.16486020994952,AC1,45.001682107069,44.99917998388603,19.445103934215968,-282,50000.0,100.0,RECOVERY,
Warning,65.82196653976538,0.0,RECOVERY,,253.74990598521285,65.82196653976538,NEAR,,360.0,253.74990598521285,RECOVERY,,700.0,10.0,RECOVERY,,4647.5851944440055,178.65059961494313,45.01536254493282,45.021417115609644,245.6776838577139,-257,2,4655.285409279908,100.16486020994952,AC1,45.00205283016162,44.99987246092182,19.384678522051097,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4643.301861110672,178.65059961494313,45.014784839067396,45.01887750516979,245.6053002506267,-257,3,4650.585409279908,100.16486020994952,AC1,45.002354875091356,45.001611206664904,19.32441230306907,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4639.018527777338,178.65059961494313,45.01558562503495,45.01861245487347,245.53275526360414,-257,4,4645.885409279908,100.16486020994952,AC1,45.00204688039753,44.99871149843785,19.26430512191143,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4634.735194444004,178.65059961494313,45.01532214405294,45.01569453582916,245.46004899707813,-257,5,4641.1854092799085,100.16486020994952,AC1,45.00266298582591,44.99909181146137,19.20435681967302,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4630.4518611106705,178.65059961494313,45.01412847894486,45.01554032021734,245.3871815585239,-257,6,4636.485409279909,100.16486020994952,AC1,45.00227818659359,45.00009414907923,19.14456723783017,-282,50000.0,100.0,RECOVERY,
Warning,65.53275526357972,0.0,RECOVERY,,243.3871815584592,65.53275526357972,NEAR,,360.0,243.3871815584592,RECOVERY,,700.0,10.0,RECOVERY,,4626.168527777337,178.65059961494313,45.014447048318544,45.01873049776964,245.31415305719554,-257,7,4631.785409279909,100.16486020994952,AC1,45.00224944251146,45.00113492079045,19.084936212565193,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4621.885194444003,178.65059961494313,45.01404012669127,45.01486509641874,245.2409636102368,-257,8,4627.085409279909,100.16486020994952,AC1,45.00427293525895,45.00026600401131,19.025463581114757,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,4617.601861110669,178.65059961494313,45.01415961236143,45.013565689118856,245.16761333610435,-257,9,4622.385409279909,100.16486020994952,AC1,45.005304650085726,45.000812269626536,18.966149174192974,-282,50000.0,100.0,RECOVERY,
