alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit
Warning,65.82196653977154,0.0,RECOVERY,,247.82196653977152,65.82196653977154,NEAR,,360.0,247.82196653977152,RECOVERY,,337.26897957566615,10.0,RECOVERY,,700.0,337.26897957566615,NEAR,,4656.151861110673,178.65059961494313,45.014982180531746,45.010046607817614,245.82196653976587,-257,0,4664.685409279908,100.16486020994952,AC1,44.998984080681076,44.9889611460331,19.50568869280855,-282,50000.0,100.0,RECOVERY,
Warning,65.82196653977154,0.0,RECOVERY,,247.82196653977152,65.82196653977154,NEAR,,360.0,247.82196653977152,RECOVERY,,337.26897957566615,10.0,RECOVERY,,700.0,337.26897957566615,NEAR,,4651.868527777339,178.65059961494313,45.01417074900747,45.00785917481352,245.74990228891596,-257,1,4659.985409279908,100.16486020994952,AC1,45.000547184190154,44.98675197967842,19.445099516637868,-282,50000.0,100.0,RECOVERY,
Warning,65.82196653977154,0.0,RECOVERY,,247.82196653977152,65.82196653977154,NEAR,,360.0,247.82196653977152,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4647.5851944440055,178.65059961494313,45.01327875666783,45.00647065871211,245.6776764500059,-257,2,4655.285409279908,100.16486020994952,AC1,45.000404230355976,44.985419422379046,19.384669708378897,-282,50000.0,100.0,RECOVERY,
Warning,65.82196653977154,0.0,RECOVERY,,247.82196653977152,65.82196653977154,NEAR,,360.0,247.82196653977152,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4643.301861110672,178.65059961494313,45.01437555646309,45.008710137402645,245.60528911511528,-257,3,4650.585409279908,100.16486020994952,AC1,45.001643307880926,44.98759324039133,19.324399116989873,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4639.018527777338,178.65059961494313,45.01267772695238,45.005556117744575,245.53274038243023,-257,4,4645.885409279908,100.16486020994952,AC1,44.99990859749701,44.989533102668766,19.264287586318094,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4634.735194444004,178.65059961494313,45.014347722228955,45.007327848754336,245.46003035394114,-257,5,4641.1854092799085,100.16486020994952,AC1,44.99826391594561,44.98939549760264,19.20433495899868,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4630.4518611106705,178.65059961494313,45.01462929835328,45.00150165607054,245.38715913655236,-257,6,4636.485409279909,100.16486020994952,AC1,45.000660897909626,44.988756476269955,19.144541074300346,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4626.168527777337,178.65059961494313,45.01153286137879,45.00173455237976,245.31412684153725,-257,7,4631.785409279909,100.16486020994952,AC1,45.00122562839093,44.990368706790214,19.08490577019092,-282,50000.0,100.0,RECOVERY,
Warning,65.38715913650691,0.0,RECOVERY,,239.3141268415569,65.38715913650691,NEAR,,360.0,239.3141268415569,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4621.885194444003,178.65059961494313,45.01344692765687,45.0018216903022,245.2409335827143,-257,8,4627.085409279909,100.16486020994952,AC1,45.001553575215134,44.98705596475713,19.025428881264446,-282,50000.0,100.0,RECOVERY,
Warning,65.38715913650691,0.0,RECOVERY,,239.3141268415569,65.38715913650691,NEAR,,360.0,239.3141268415569,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4617.601861110669,178.65059961494313,45.010170039107045,45.001012502232584,245.16757948092635,-257,9,4622.385409279909,100.16486020994952,AC1,45.00291633422662,44.98825829333762,18.96611024046259,-282,50000.0,100.0,RECOVERY,
Warning,65.3141268415569,0.0,RECOVERY,,239.3141268415569,65.3141268415569,NEAR,,360.0,239.3141268415569,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4613.3185277773355,178.65059961494313,45.010832163264574,45.00016386672466,245.09406466063803,-257,10,4617.685409279909,100.16486020994952,AC1,45.003464109267966,44.989342873542434,18.906949677979096,-282,50000.0,100.0,RECOVERY,
Warning,65.24093358266714,0.0,RECOVERY,,245.09406466066213,65.24093358266714,NEAR,,360.0,245.09406466066213,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4609.035194444002,178.65059961494313,45.011767995859245,45.000162718669316,245.0203892502635,-257,11,4612.98540927991,100.16486020994952,AC1,45.00165852744423,44.99018378599988,18.84794702240211,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4604.751861110668,178.65059961494313,45.00917852075945,44.9978470707503,244.94655338183983,-257,12,4608.28540927991,100.16486020994952,AC1,45.00419980385432,44.987456506757354,18.789102099845906,-282,50000.0,100.0,RECOVERY,
Warning,65.09406466066213,0.0,RECOVERY,,245.09406466066213,65.09406466066213,NEAR,,360.0,245.09406466066213,RECOVERY,,700.0,10.0,RECOVERY,,,,,,4600.468527777334,178.65059961494313,45.0093672232259,44.99610413541162,244.87255719498725,-257,13,4603.58540927991,100.16486020994952,AC1,45.00334852641664,44.98990793751479,18.73041473439051,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4596.185194444,178.65059961494313,45.008835738937464,44.995524394511065,244.79840083072065,-257,14,4598.88540927991,100.16486020994952,AC1,45.004092358908174,44.993160978709774,18.671884747886295,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4591.901861110667,178.65059961494313,45.011608599170025,44.99572996619081,244.7240844351419,-257,15,4594.18540927991,100.16486020994952,AC1,45.00655148222496,44.98967666961837,18.613511959782976,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4587.618527777333,178.65059961494313,45.00873425219036,44.99548699673262,244.64960816072946,-257,16,4589.4854092799105,100.16486020994952,AC1,45.00684033980341,44.991038486344245,18.555296187299575,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4583.335194443999,178.65059961494313,45.00678326582958,44.99296848961458,244.5749721630791,-257,17,4584.785409279911,100.16486020994952,AC1,45.00596258919833,44.99308649348336,18.49723724534798,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,NEAR,,,,,,,,,,700.0,10.0,NEAR,,,,,,4579.051861110665,178.65059961494313,45.00725882356243,44.993911136088975,244.50017660270495,-257,18,4580.085409279911,100.16486020994952,AC1,45.006931171604734,44.99249307148418,18.43933494781505,-282,50000.0,100.0,NEAR,
Warning,360.0,0.0,NEAR,,,,,,,,,,700.0,10.0,NEAR,,,,,,4574.768527777332,178.65059961494313,45.008666696431256,44.99067374690205,244.42522164433217,-257,19,4575.385409279911,100.16486020994952,AC1,45.00701565132492,44.992658901127975,18.381589106351377,-282,50000.0,100.0,NEAR,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4570.485194443998,178.65059961494313,45.00632519715215,44.98723994721619,244.35010745917643,-257,20,4570.685409279911,100.16486020994952,AC1,45.007819722668756,44.992150442792315,18.32399952904952,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4566.201861110664,178.65059961494313,45.00782347908832,44.98808871407509,244.27483422086692,-257,21,4565.985409279911,100.16486020994952,AC1,45.00661089573298,44.99311600213529,18.26656602350903,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4561.91852777733,178.65059961494313,45.006567091183996,44.987009328426524,244.19940211005746,-257,22,4561.285409279912,100.16486020994952,AC1,45.00894923221203,44.99196645587951,18.20928839568076,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4557.635194443997,178.65059961494313,45.00441592836735,44.98581353949409,244.123811309701,-257,23,4556.585409279912,100.16486020994952,AC1,45.00924673204192,44.99175652312695,18.15216644787565,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4553.351861110663,178.65059961494313,45.00652657837077,44.9848200586116,244.04806201051173,-257,24,4551.885409279912,100.16486020994952,AC1,45.00923821596479,44.994127800597575,18.09519998150453,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4549.068527777329,178.65059961494313,45.00504917507735,44.985348941819936,243.97215440465703,-257,25,4547.185409279912,100.16486020994952,AC1,45.010147032283655,44.99213902849308,18.038388795232283,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4544.785194443995,178.65059961494313,45.006879634037695,44.982334747535916,243.89608869099845,-257,26,4542.485409279912,100.16486020994952,AC1,45.00965053809903,44.992570245587785,17.981732687882626,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4540.501861110662,178.65059961494313,45.00367426056201,44.98296549159291,243.81986507431907,-257,27,4537.7854092799125,100.16486020994952,AC1,45.01031622631034,44.992737711844725,17.925231454447392,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4536.218527777328,178.65059961494313,45.00521798504803,44.98226563251295,243.7434837620644,-257,28,4533.085409279913,100.16486020994952,AC1,45.007961415792025,44.99322920320225,17.868884888755055,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,NONE,,,,,,,,,,700.0,10.0,NONE,,,,,,4531.935194443994,178.65059961494313,45.003215915048195,44.982305878840585,243.66694496709064,-257,29,4528.385409279913,100.16486020994952,AC1,45.012261206891964,44.996033062411435,17.81269278307385,-282,50000.0,100.0,NONE,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4527.65186111066,178.65059961494313,45.00552032548632,44.98039659679743,243.59024890763516,-257,30,4523.685409279913,100.16486020994952,AC1,45.01232271558326,44.99192427402442,17.756654926303163,-282,50000.0,100.0,RECOVERY,
